#File format: word,sPoint,nPoint,yPoint

#Sayori's winning words
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
Fuck off,3,2,1
